animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,predicted,probability,correct?
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.009547087115399,CORRECT
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.009547087115399,CORRECT
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,1.0084800581845723,CORRECT
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,1.0184601881496262,CORRECT
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,1.0118969140650138,CORRECT
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.009547087115399,CORRECT
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,2,1.0138583987937173,CORRECT
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6,1.0164589080102922,CORRECT
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,1.0119336150093836,CORRECT
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1,1.0157258526861335,CORRECT
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,1.015779532768329,CORRECT
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6,1.014469098053139,CORRECT
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,2,1.0189415539675761,CORRECT
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,1.0127585296536636,CORRECT
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6,1.014469098053139,CORRECT
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,1.0127585296536636,CORRECT
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.009547087115399,CORRECT
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,1.0101199618528032,CORRECT
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,1.0084800581845723,CORRECT
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,1.0119336150093836,CORRECT
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,3,1.0559517964587246,wrong
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4,1.0129781315641442,CORRECT
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,7,1.0346460978909622,CORRECT
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,1.0308433809436792,CORRECT
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,7,1.0325981565631448,CORRECT
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4,1.0313895405573603,CORRECT
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6,1.0225816836047175,CORRECT
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,3,1.0313740184072535,CORRECT
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1,1.0138368370908184,CORRECT
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,1.0084800581845723,CORRECT
